"id_acronym","id_acronym_unique","description"
"GPEC","GPEC","Gestion Prévisionnelle des Emplois et des Compétences."
"GTO","GTO","Généralisation du Transport Optique."
"HSE","HSE","Hygiène Sécurité Environnement."
"IPBX","IPBX","PABX sur technologie IP (Autocommutateur privé)."
"IPS","IPS","International Postal System (traçabilité du traitement du courrier)."
"IRP","IRP","Instance Représentative du Personnel"
"ITB","ITB","Institut des Techniques Bancaires - Management Bancaire (diplôme du Centre de Formation de la Profession Bancaire)."
"LS","LS","Liaison Spécialisée (aux professionnels)."
"MBA","MBA","Master of Business Administration."
"MOA","MOA","Maîtrise d’Ouvrage."
"MOE","MOE","Maîtrise d’Œuvre."
"MUX","MUX","Abréviation de Multiplexeur."
"NA","NA","Network Analyzer (Outil d’analyse du réseau)."
"NCR","NCR","Non Consommateur Relatif."
"OPT-NC","OPT-NC","Office des Postes et Télécommunications de Nouvelle-Calédonie."
"PAC","PAC","Plan d’Actions Commerciales."
"PE","PE","Performance Économique."
"PEMP","PEMP","Plateforme Elévatrice Mobile de Personne."
"PFS","PFS","Plate-Forme de Services (télécommunications)."
"PLV","PLV","Publicité sur le Lieu de Vente."
"PMO","PMO","Projet Management Organisation."
"PPT","PPT","Power Point."
"PRA","PRA","Plan de Reprise d’Activité."
"PS","PS","Plan Stratégique."
"PSM","PSM","Plateforme de Services Mutualisés (Backbone Internet)."
"PSSI","PSSI","Politique de Sécurité des Systèmes d’Information."
"REMO","REMO","Recrutement Emploi Mobilité."
"RESPNC","RESPNC","Répertoire des Emplois des Services Publics de la Nouvelle-Calédonie."
"REX","REX","Retour d’Expérience."
"RH","RH","Ressources Humaines."
"RNIS","RNIS","Réseau Numérique à Intégration de Services."
"ROI","ROI","Return On Investment - Retour sur investissement."
"SAAS","SAAS","Softer As A Service - Principe d’externalisation de logiciel."
"SAF","SAF","Service Administratif et Financier (Direction des Télécommunications)."
"SAP","SAP","Systems, Applications and Products for data processing - Progiciel de gestion d’entreprise."
"SAU","SAU","Service Aux Utilisateurs."
"SAV","SAV","Service Après-Vente."
"SG","SG","Secrétariat Général."
"SGLB","SGLB","Secrétariat Général Logistique et Bâtiments."
"SI","SI","Section Intervention / Système d’Information."
"SI MOBILE","SI MOBILE","Système d’Information du réseau mobile."
"SI TELECOMS","SI TELECOMS","Système d’Information Télécoms."
"SID","SID","Système d’Information Décisionnel."
"SIG","SIG","Système d’Information Géographique."
"SIRH","SIRH","Système d’Information des Ressources Humaines."
"SLA","SLA","Service Level Agreement - Engagement de niveau de service."
"ST","ST","Sous-Traité."
"SVA","SVA","Service à Valeur Ajoutée."
"SVP","SVP","S’il Vous Plaît - Plate-forme de service d’assistance des agences sur le logiciel Oleti (gestion de l’activité des agences postales)."
"TAF","TAF","Service Administratif et Financier de la direction des Télécommunications."
"THD","THD","Très Haut Débit."
"TJM","TJM","Taux journalier Moyen : Dans le cadre des marchés, c'est le tarif à la journée d'une ressource prestataire"
"VII","VII","Vente Intérieur et îles."
"VNA","VNA","Vente Nouméa et Agglomération."
"WDM","WDM","Wavelength Division Multiplexing - Technologie de transport sur Fibre Optique."
